State,Category,Estabblishment
Alabama,Polish and other sanitation good ,4
Alabama,Toilet preparation ,3
Alabama,Toilet preparation ,3
Alabama,Other chemical product and preparation ,24
Alabama,Printing ink ,3
Alabama,Printing ink ,3
Alabama,All other chemical product and preparation ,19
Alabama,Custom compounding of purchased resins,4
Alabama,All other miscellaneous chemical product and preparation ,13
Alabama,Plastics and rubber products ,174
Alabama,Plastics product ,133
Alabama,Plastics packaging and unlaminated film and sheet ,15
Alabama,Plastics bag and pouch ,6
Alabama,Plastics packaging film and sheet (including laminated) ,4
Alabama,Unlaminated plastics film and sheet (except packaging) ,5
Alabama,"Plastics pipe, pipe fitting, and unlaminated profile shape ",17
Alabama,Unlaminated plastics profile shape ,4
Alabama,Plastics pipe and pipe fitting ,13
Alabama,Polystyrene foam product ,5
Alabama,Polystyrene foam product ,5
Alabama,Plastics bottle ,5
Alabama,Plastics bottle ,5
Alabama,Other plastics product ,87
Alabama,Plastics plumbing fixture ,12
Alabama,All other plastics product ,75
Alabama,Rubber product ,41
Alabama,Tire ,17
Alabama,Tire  (except retreading),5
Alabama,Tire retreading,12
Alabama,Rubber and plastics hoses and belting ,4
Alabama,Rubber and plastics hoses and belting ,4
Alabama,Other rubber product ,20
Alabama,Rubber product  for mechanical use,6
Alabama,All other rubber product ,14
Alabama,Nonmetallic mineral product ,302
Alabama,Clay product and refractory ,26
Alabama,"Pottery, ceramics, and plumbing fixture ",3
Alabama,"Pottery, ceramics, and plumbing fixture ",3
Alabama,Clay building material and refractories ,23
Alabama,Clay building material and refractories ,23
Alabama,Glass and glass product ,14
Alabama,Glass and glass product ,14
Alabama,Glass product  made of purchased glass,12
Alabama,Cement and concrete product ,194
Alabama,Cement ,7
Alabama,Cement ,7
Alabama,Ready-mix concrete ,124
Alabama,Ready-mix concrete ,124
Alabama,"Concrete pipe, brick, and block ",25
Alabama,Concrete block and brick ,17
Alabama,Concrete pipe ,8
Alabama,Other concrete product ,38
Alabama,Other concrete product ,38
Alabama,Lime and gypsum product ,11
Alabama,Lime ,9
Alabama,Lime ,9
Alabama,Other nonmetallic mineral product ,57
Alabama,Abrasive product ,3
Alabama,Abrasive product ,3
Alabama,All other nonmetallic mineral product ,54
Alabama,Cut stone and stone product ,33
Alabama,Ground or treated mineral and earth ,7
Alabama,Mineral wool ,8
Alabama,All other miscellaneous nonmetallic mineral product ,6
Alabama,Primary metal ,108
Alabama,Iron and steel mills and ferroalloy ,16
Alabama,Iron and steel mills and ferroalloy ,16
Alabama,Iron and steel mills and ferroalloy ,16
Alabama,Steel product  from purchased steel,17
Alabama,Iron and steel pipe and tube  from purchased steel,7
Alabama,Iron and steel pipe and tube  from purchased steel,7
Alabama,Rolling and drawing of purchased steel,10
Alabama,Rolled steel shape ,5
Alabama,Steel wire drawing,5
Alabama,Alumina and aluminum production and processing,18
Alabama,Alumina and aluminum production and processing,18
Alabama,Secondary smelting and alloying of aluminum,5
Alabama,"Aluminum sheet, plate, and foil ",5
Alabama,"Other aluminum rolling, drawing, and extruding",8
Alabama,Nonferrous metal production and processing,18
Alabama,Nonferrous metal (except aluminum) smelting and refining,6
Alabama,Nonferrous metal (except aluminum) smelting and refining,6
Alabama,"Copper rolling, drawing, extruding, and alloying",3
Alabama,"Copper rolling, drawing, extruding, and alloying",3
Alabama,"Nonferrous metal rolling, drawing, extruding, and alloying",9
Alabama,"Nonferrous metal rolling, drawing, extruding, and alloying",4
Alabama,"Secondary smelting, refining, and alloying of nonferrous metal",5
Alabama,Foundries,39
Alabama,Ferrous metal foundries,27
Alabama,Iron foundries,18
Alabama,Steel foundries (except investment),8
Alabama,Nonferrous metal foundries,12
Alabama,Nonferrous metal die-casting foundries,7
Alabama,Aluminum foundries (except die-casting),3
Alabama,Fabricated metal product ,911
Alabama,Forging and stamping,37
Alabama,Forging and stamping,37
Alabama,Custom roll forming,12
Alabama,"Metal crown, closure, and other metal stamping (except automotive)",21
Alabama,Cutlery and handtool ,8
Alabama,Cutlery and handtool ,8
Alabama,"Metal kitchen cookware, utensil, cutlery, and flatware (except precious) ",3
Alabama,Saw blade and handtool ,5
Alabama,Architectural and structural metals ,313
Alabama,Plate work and fabricated structural product ,176
Alabama,Prefabricated metal building and component ,24
Alabama,Fabricated structural metal ,111
Alabama,Plate work ,41
Alabama,Ornamental and architectural metal products ,137
Alabama,Metal window and door ,20
Alabama,Sheet metal work ,74
Alabama,Ornamental and architectural metal work ,43
Alabama,"Boiler, tank, and shipping container ",26
Alabama,Power boiler and heat exchanger ,3
Alabama,Power boiler and heat exchanger ,3
Alabama,Metal tank (heavy gauge) ,16
Alabama,Metal tank (heavy gauge) ,16
Alabama,"Metal can, box, and other metal container (light gauge) ",7
Alabama,Other metal container ,5
Alabama,Hardware ,7
Alabama,Hardware ,7
Alabama,Hardware ,7
Alabama,Spring and wire product ,12
Alabama,Spring and wire product ,12
Alabama,Spring ,3
Alabama,Other fabricated wire product ,9
Alabama,"Machine shops; turned product; and screw, nut, and bolt ",339
Alabama,Machine shops,297
Alabama,Machine shops,297
Alabama,"Turned product and screw, nut, and bolt ",42
Alabama,Precision turned product ,35
Alabama,"Bolt, nut, screw, rivet, and washer ",7
Alabama,"Coating, engraving, heat treating, and allied activities",64
Alabama,"Coating, engraving, heat treating, and allied activities",64
Alabama,Metal heat treating,11
Alabama,"Metal coating, engraving and allied services to manufacturers",28
Alabama,"Electroplating, plating, polishing, anodizing, and coloring",25
Alabama,Other fabricated metal product ,105
Alabama,Metal valve ,19
Alabama,Industrial valve ,13
Alabama,Other metal valve and pipe fitting ,4
Alabama,All other fabricated metal product ,86
Alabama,Small arms ammunition ,4
Alabama,"Small arms, ordnance, and ordnance accessories ",3
Alabama,Fabricated pipe and pipe fitting ,21
Alabama,All other miscellaneous fabricated metal product ,55
Alabama,Machinery ,268
Alabama,"Agriculture, construction, and mining machinery ",28
Alabama,Agricultural implement ,19
Alabama,Farm machinery and equipment ,15
Alabama,Lawn and garden tractor and home lawn and garden equipment ,4
Alabama,Construction machinery ,6
Alabama,Construction machinery ,6
Alabama,Mining and oil and gas field machinery ,3
Alabama,Industrial machinery ,26
Alabama,Industrial machinery ,26
Alabama,"Sawmill, woodworking, and paper machinery ",13
Alabama,Other industrial machinery ,10
Alabama,Commercial and service industry machinery ,23
Alabama,Commercial and service industry machinery ,23
Alabama,Optical instrument and lens ,5
Alabama,Photographic and photocopying equipment ,3
Alabama,Other commercial and service industry machinery ,15
Alabama,"Ventilation, heating, and refrigeration equipment ",23
Alabama,"Ventilation, heating, and refrigeration equipment ",23
Alabama,Fan and blower and air purification equipment ,10
Alabama,Heating equipment (except warm air furnaces) ,5
Alabama,Air heating and refrigeration equipment,8
Alabama,Metalworking machinery ,54
Alabama,Metalworking machinery ,54
Alabama,Industrial mold ,15
Alabama,"Special die and tool, die set, jig, and fixture ",22
Alabama,Cutting tool and machine tool accessory ,10
Alabama,Machine tool ,4
Alabama,Rolling mill and other metalworking machinery ,3
Alabama,"Engine, turbine, and power transmission equipment ",17
Alabama,"Engine, turbine, and power transmission equipment ",17
Alabama,"Speed changer, industrial high-speed drive, and gear ",5
Alabama,Mechanical power transmission equipment ,3
Alabama,Other engine equipment ,8
Alabama,Other general purpose machinery ,97
Alabama,Pump and compressor ,8
Alabama,Pump and pumping equipment ,4
Alabama,Air and gas compressor ,3
Alabama,Material handling equipment ,35
Alabama,Conveyor and conveying equipment ,19
Alabama,"Overhead traveling crane, hoist, and monorail system ",7
Alabama,"Industrial truck, trailer, and stacker machinery ",7
Alabama,All other general purpose machinery ,54
Alabama,Welding and soldering equipment ,6
Alabama,Packaging machinery ,6
Alabama,Industrial process furnace and oven ,4
Alabama,Fluid power cylinder and actuator ,12
Alabama,All other miscellaneous general purpose machinery ,22
Alabama,Computer and electronic product ,106
Alabama,Computer and peripheral equipment ,9
Alabama,Computer and peripheral equipment ,9
Alabama,Electronic computer ,3
Alabama,Computer terminal and other peripheral equipment ,4
Alabama,Communications equipment ,19
Alabama,Telephone apparatus ,3
Alabama,Telephone apparatus ,3
Alabama,Broadcasting and wireless communications equipment ,12
Alabama,Broadcasting and wireless communications equipment ,12
Alabama,Other communications equipment ,4
Alabama,Other communications equipment ,4
Alabama,Semiconductor and other electronic component ,37
Alabama,Semiconductor and other electronic component ,37
Alabama,Semiconductor and related device ,3
Alabama,Printed circuit assembly (electronic assembly) ,14
Alabama,Other electronic component ,17
Alabama,"Navigational, measuring, electromedical, and control instruments ",37
Alabama,"Navigational, measuring, electromedical, and control instruments ",37
Alabama,Electromedical and electrotherapeutic apparatus ,3
Alabama,"Search, detection, navigation, guidance, aeronautical, and nautical system ",8
Alabama,Instrument  for measuring and testing electricity and electrical systems,8
Alabama,Analytical laboratory instrument ,5
Alabama,Irradiation apparatus ,3
Alabama,Other measuring and controlling device ,5
Alabama, and reproducing magnetic and optical media,4
Alabama, and reproducing magnetic and optical media,4
Alabama,"Software and compact disc, tape, and record reproducing",4
Alabama,"Electrical equipment, appliance, and component ",71
Alabama,Electric lighting equipment ,10
Alabama,Lighting fixture ,10
Alabama,Residential electric lighting fixture ,3
Alabama,Electric lighting fixture ,3
Alabama,Other lighting equipment ,4
Alabama,Household appliance ,3
Alabama,Electrical equipment ,27
Alabama,Electrical equipment ,27
Alabama,"Power, distribution, and specialty transformer ",4
Alabama,Motor and generator ,5
Alabama,Switchgear and switchboard apparatus ,9
Alabama,Relay and industrial control ,9
Alabama,Other electrical equipment and component ,31
Alabama,Wiring device ,14
Alabama,Current-carrying wiring device ,6
Alabama,Noncurrent-carrying wiring device ,8
Alabama,All other electrical equipment and component ,13
Alabama,Carbon and graphite product ,5
Alabama,All other miscellaneous electrical equipment,8
Alabama,Transportation equipment ,276
Alabama,Motor vehicle ,8
Alabama,Automobile and light duty motor vehicle ,7
Alabama,Automobile ,3
Alabama,Light truck and utility vehicle ,4
Alabama,Motor vehicle body and trailer ,47
Alabama,Motor vehicle body and trailer ,47
Alabama,Motor vehicle body ,14
Alabama,Truck trailer ,18
Alabama,Travel trailer and camper ,13
Alabama,Motor vehicle parts ,134
Alabama,Motor vehicle gasoline engine and engine parts ,6
Alabama,Motor vehicle gasoline engine and engine parts ,6
Alabama,Motor vehicle electrical and electronic equipment ,19
Alabama,Motor vehicle electrical and electronic equipment ,19
Alabama,Motor vehicle steering and suspension components (except spring) ,5
Alabama,Motor vehicle steering and suspension components (except spring) ,5
Alabama,Motor vehicle brake system ,4
Alabama,Motor vehicle brake system ,4
Alabama,Motor vehicle transmission and power train parts ,12
Alabama,Motor vehicle transmission and power train parts ,12
Alabama,Motor vehicle seating and interior trim ,19
Alabama,Motor vehicle seating and interior trim ,19
Alabama,Motor vehicle metal stamping,21
Alabama,Motor vehicle metal stamping,21
Alabama,Other motor vehicle parts ,48
Alabama,Other motor vehicle parts ,48
Alabama,Aerospace product and parts ,29
Alabama,Aerospace product and parts ,29
Alabama,Aircraft ,7
Alabama,Aircraft engine and engine parts ,5
Alabama,Other aircraft parts and auxiliary equipment ,9
Alabama,Guided missile and space vehicle ,5
Alabama,Railroad rolling stock ,6
Alabama,Railroad rolling stock ,6
Alabama,Railroad rolling stock ,6
Alabama,Ship and boat building,38
Alabama,Ship and boat building,38
Alabama,Ship building and repairing,29
Alabama,Boat building,9
Alabama,Other transportation equipment ,14
Alabama,Other transportation equipment ,14
Alabama,"Motorcycle, bicycle, and parts ",5
Alabama,"Military armored vehicle, tank, and tank component ",3
Alabama,All other transportation equipment ,6
Alabama,Furniture and related product ,285
Alabama,Household and institutional furniture and kitchen cabinet ,232
Alabama,Wood kitchen cabinet and countertop ,183
Alabama,Wood kitchen cabinet and countertop ,183
Alabama,Household and institutional furniture ,49
Alabama,Upholstered household furniture ,7
Alabama,Nonupholstered wood household furniture ,22
Alabama,Metal household furniture ,7
Alabama,Household furniture (except wood and metal) ,3
Alabama,Institutional furniture ,10
Alabama,Office furniture (including fixtures) ,40
Alabama,Office furniture (including fixtures) ,40
Alabama,Wood office furniture ,5
Alabama,Custom architectural woodwork and millwork ,15
Alabama,"Showcase, partition, shelving, and locker ",18
Alabama,Other furniture related product ,13
Alabama,Mattress ,7
Alabama,Mattress ,7
Alabama,Blind and shade ,6
Alabama,Blind and shade ,6
Alabama,Miscellaneous ,316
Alabama,Medical equipment and supplies ,138
Alabama,Medical equipment and supplies ,138
Alabama,Surgical and medical instrument ,5
Alabama,Surgical appliance and supplies ,28
Alabama,Dental equipment and supplies ,7
Alabama,Ophthalmic goods ,4
Alabama,Dental laboratories,94
Alabama,Other miscellaneous ,178
Alabama,Jewelry and silverware ,5
Alabama,Jewelry and silverware ,5
Alabama,Sporting and athletic goods ,29
Alabama,Sporting and athletic goods ,29
Alabama,Office supplies (except paper) ,6
Alabama,Office supplies (except paper) ,6
Alabama,Sign ,62
Alabama,Sign ,62
Alabama,All other miscellaneous ,74
Alabama,"Gasket, packing, and sealing device ",10
Alabama,Burial casket ,4
Alabama,All other miscellaneous ,58
Alabama ,Meat processed from carcasses,3
Alabama ,Poultry processing,6
Alabama ,Bakeries and tortilla ,7
Alabama ,Bread and bakery product ,5
Alabama ,Retail bakeries,3
Alabama ,Beverage and tobacco product ,4
Alabama ,Beverage ,4
Alabama ,Soft drink and ice ,3
Alabama ,Textile mills,13
Alabama ,"Fiber, yarn, and thread mills",5
Alabama ,"Fiber, yarn, and thread mills",5
Alabama ,"Fiber, yarn, and thread mills",5
Alabama ,Fabric mills,5
Alabama ,Textile and fabric finishing and fabric coating mills,3
Alabama ,Textile and fabric finishing mills,3
Alabama ,Textile and fabric finishing mills,3
Alabama ,Textile product mills,13
Alabama ,Textile furnishings mills,7
Alabama ,Curtain and linen mills,6
Alabama ,Curtain and linen mills,6
Alabama ,Other textile product mills,6
Alabama ,All other textile product mills,5
Alabama ,All other miscellaneous textile product mills,5
Alabama ,Apparel ,28
Alabama ,Apparel knitting mills,20
Alabama ,Hosiery and sock mills,19
Alabama ,Hosiery and sock mills,19
Alabama ,Cut and sew apparel ,6
Alabama ,Cut and sew apparel contractors,5
Alabama ,Cut and sew apparel contractors,5
Alabama ,Leather and allied product ,5
Alabama ,Other leather and allied product ,5
Alabama ,Other leather and allied product ,5
Alabama ,All other leather good and allied product ,5
Alabama ,Wood product ,121
Alabama ,Sawmills and wood preservation,42
Alabama ,Sawmills and wood preservation,42
Alabama ,Sawmills,40
Alabama ,"Veneer, plywood, and engineered wood product ",23
Alabama ,"Veneer, plywood, and engineered wood product ",23
Alabama ,Hardwood veneer and plywood ,4
Alabama ,Softwood veneer and plywood ,4
Alabama ,Truss ,10
Alabama ,Reconstituted wood product ,3
Alabama ,Other wood product ,56
Alabama ,Millwork,27
Alabama ,Wood window and door ,8
Alabama ,"Cut stock, resawing lumber, and planing",14
Alabama ,Other millwork (including flooring),5
Alabama ,Wood container and pallet ,5
Alabama ,Wood container and pallet ,5
Alabama ,All other wood product ,24
Alabama ,Manufactured home (mobile home) ,14
Alabama ,Prefabricated wood building ,5
Alabama ,All other miscellaneous wood product ,5
Alabama ,Paper ,19
Alabama ,Printing and related support activities,21
Alabama ,Printing,21
Alabama ,Commercial printing (except screen and books),16
Alabama ,Commercial screen printing,5
Alabama ,Chemical ,28
Alabama ,Basic chemical ,10
Alabama ,Other basic inorganic chemical ,4
Alabama ,Other basic inorganic chemical ,4
Alabama ,Other basic organic chemical ,4
Alabama ,All other basic organic chemical ,4
Alabama ,"Resin, synthetic rubber, and synthetic fibers and filaments ",3
Alabama ,"Pesticide, fertilizer, and other agricultural chemical ",5
Alabama ,Fertilizer ,5
Alabama ,Fertilizer (mixing only) ,3
Alabama ,"Paint, coating, and adhesive ",4
Alabama ,Paint and coating ,3
Alabama ,Paint and coating ,3
Alabama ,Other chemical product and preparation ,3
Alabama ,Plastics and rubber products ,29
Alabama ,Plastics product ,22
Alabama ,Plastics packaging and unlaminated film and sheet ,4
Alabama ,Unlaminated plastics film and sheet (except packaging) ,3
Alabama ,Other plastics product ,18
Alabama ,Plastics plumbing fixture ,4
Alabama ,All other plastics product ,14
Alabama ,Rubber product ,7
Alabama ,Tire ,3
Alabama ,Tire retreading,3
Alabama ,Other rubber product ,3
Alabama ,Nonmetallic mineral product ,46
Alabama ,Cement and concrete product ,36
Alabama ,Ready-mix concrete ,28
Alabama ,Ready-mix concrete ,28
Alabama ,"Concrete pipe, brick, and block ",3
Alabama ,Concrete block and brick ,3
Alabama ,Other concrete product ,3
Alabama ,Other concrete product ,3
Alabama ,Other nonmetallic mineral product ,6
Alabama ,All other nonmetallic mineral product ,6
Alabama ,Cut stone and stone product ,5
Alabama ,Primary metal ,11
Alabama ,Steel product  from purchased steel,3
Alabama ,Foundries,3
Alabama ,Fabricated metal product ,93
Alabama ,Forging and stamping,7
Alabama ,Forging and stamping,7
Alabama ,"Metal crown, closure, and other metal stamping (except automotive)",4
Alabama ,Architectural and structural metals ,42
Alabama ,Plate work and fabricated structural product ,29
Alabama ,Prefabricated metal building and component ,4
Alabama ,Fabricated structural metal ,22
Alabama ,Plate work ,3
Alabama ,Ornamental and architectural metal products ,13
Alabama ,Sheet metal work ,9
Alabama ,"Boiler, tank, and shipping container ",4
Alabama ,Metal tank (heavy gauge) ,3
Alabama ,,635
Alabama ,Food ,37
Alabama ,Animal food ,6
Alabama ,Animal food ,6
Alabama ,Other animal food ,4
Alabama ,Animal slaughtering and processing,14
Alabama ,Animal slaughtering and processing,14
Alabama ,Animal (except poultry) slaughtering,5
Alabama ,Metal tank (heavy gauge) ,3
Alabama ,"Machine shops; turned product; and screw, nut, and bolt ",26
Alabama ,Machine shops,25
Alabama ,Machine shops,25
Alabama ,Other fabricated metal product ,10
Alabama ,All other fabricated metal product ,10
Alabama ,All other miscellaneous fabricated metal product ,7
Alabama ,Machinery ,25
Alabama ,"Agriculture, construction, and mining machinery ",5
Alabama ,Agricultural implement ,3
Alabama ,Farm machinery and equipment ,3
Alabama ,Industrial machinery ,5
Alabama ,Industrial machinery ,5
Alabama ,Other general purpose machinery ,7
Alabama ,Material handling equipment ,4
Alabama ,Conveyor and conveying equipment ,3
Alabama ,All other general purpose machinery ,3
Alabama ,Computer and electronic product ,6
Alabama ,Semiconductor and other electronic component ,3
Alabama ,Semiconductor and other electronic component ,3
Alabama ,"Electrical equipment, appliance, and component ",7
Alabama ,Electric lighting equipment ,3
Alabama ,Lighting fixture ,3
Alabama ,Transportation equipment ,34
Alabama ,Motor vehicle body and trailer ,13
Alabama ,Motor vehicle body and trailer ,13
Alabama ,Truck trailer ,6
Alabama ,Travel trailer and camper ,3
Alabama ,Motor vehicle parts ,18
Alabama ,Motor vehicle electrical and electronic equipment ,5
Alabama ,Motor vehicle electrical and electronic equipment ,5
Alabama ,Motor vehicle metal stamping,4
Alabama ,Motor vehicle metal stamping,4
Alabama ,Other motor vehicle parts ,6
Alabama ,Other motor vehicle parts ,6
Alabama ,Furniture and related product ,68
Alabama ,Household and institutional furniture and kitchen cabinet ,63
Alabama ,Wood kitchen cabinet and countertop ,39
Alabama ,Wood kitchen cabinet and countertop ,39
Alabama ,Household and institutional furniture ,24
Alabama ,Upholstered household furniture ,3
Alabama ,Nonupholstered wood household furniture ,10
Alabama ,Metal household furniture ,5
Alabama ,Household furniture (except wood and metal) ,3
Alabama ,Institutional furniture ,3
Alabama ,Office furniture (including fixtures) ,3
Alabama ,Office furniture (including fixtures) ,3
Alabama ,Miscellaneous ,25
Alabama ,Medical equipment and supplies ,8
Alabama ,Medical equipment and supplies ,8
Alabama ,Dental laboratories,6
Alabama ,Other miscellaneous ,17
Alabama ,Sporting and athletic goods ,7
Alabama ,Sporting and athletic goods ,7
Alabama ,All other miscellaneous ,8
Alabama ,All other miscellaneous ,7
Alabama ,"Pulp, paper, and paperboard mills",6
Alabama ,Paperboard mills,3
Alabama ,Paperboard mills,3
Alabama ,Converted paper product ,13
Alabama ,Paperboard container ,10
Alabama ,Folding paperboard box ,5
Alabama ,Other paperboard container ,3
Alabama ,Printing and related support activities,21
Alaska,,527
Alaska,Food ,158
Alaska,Sugar and confectionery product ,6
Alaska,Chocolate and chocolate confectionery ,6
Alaska,Animal slaughtering and processing,5
Alaska,Confectionery  from purchased chocolate,6
Alaska,Dairy product ,3
Alaska,Animal slaughtering and processing,5
Alaska,Seafood product preparation and packaging,117
Alaska,Seafood product preparation and packaging,117
Alaska,Seafood product preparation and packaging,117
Alaska,Bakeries and tortilla ,15
Alaska,Bread and bakery product ,13
Alaska,Retail bakeries,9
Alaska,Commercial bakeries,3
Alaska,Other food ,10
Alaska,Coffee and tea ,5
Alaska,Coffee and tea ,5
Alaska,All other food ,3
Alaska,Beverage and tobacco product ,26
Alaska,Beverage ,26
Alaska,Soft drink and ice ,6
Alaska,Bottled water ,4
Alaska,Breweries,13
Alaska,Breweries,13
Alaska,Wineries,5
Alaska,Wineries,5
Alaska,Textile product mills,10
Alaska,Other textile product mills,10
Alaska,Textile bag and canvas mills,8
Alaska,Textile bag and canvas mills,8
Alaska,Apparel ,4
Alaska,Cut and sew apparel ,3
Alaska,Leather and allied product ,3
Alaska,Wood product ,36
Alaska,Sawmills and wood preservation,13
Alaska,Sawmills and wood preservation,13
Alaska,Sawmills,13
Alaska,"Veneer, plywood, and engineered wood product ",8
